tag,minTRx
CWECN10TEST1,881
CWECN10TEST10,813
CWECN10TEST100,954
CWECN10TEST1000,1006
CWECN10TEST101,718
CWECN10TEST102,813
CWECN10TEST103,948
CWECN10TEST104,939
CWECN10TEST105,807
CWECN10TEST106,951
CWECN10TEST107,813
CWECN10TEST108,688
CWECN10TEST109,894
CWECN10TEST11,882
CWECN10TEST110,878
CWECN10TEST111,897
CWECN10TEST112,841
CWECN10TEST113,781
CWECN10TEST114,820
CWECN10TEST115,948
CWECN10TEST116,947
CWECN10TEST117,825
CWECN10TEST118,814
CWECN10TEST119,816
CWECN10TEST12,851
CWECN10TEST120,794
CWECN10TEST121,943
CWECN10TEST122,933
CWECN10TEST123,791
CWECN10TEST124,925
CWECN10TEST125,954
CWECN10TEST126,818
CWECN10TEST127,991
CWECN10TEST128,891
CWECN10TEST129,790
CWECN10TEST13,811
CWECN10TEST130,943
CWECN10TEST131,984
CWECN10TEST132,887
CWECN10TEST133,907
CWECN10TEST134,891
CWECN10TEST135,966
CWECN10TEST136,1011
CWECN10TEST137,856
CWECN10TEST138,904
CWECN10TEST139,938
CWECN10TEST14,916
CWECN10TEST140,889
CWECN10TEST141,884
CWECN10TEST142,889
CWECN10TEST143,951
CWECN10TEST144,886
CWECN10TEST145,879
CWECN10TEST146,982
CWECN10TEST147,850
CWECN10TEST148,1012
CWECN10TEST149,887
CWECN10TEST15,800
CWECN10TEST150,842
CWECN10TEST151,893
CWECN10TEST152,879
CWECN10TEST153,817
CWECN10TEST154,951
CWECN10TEST155,960
CWECN10TEST156,499
CWECN10TEST157,908
CWECN10TEST158,842
CWECN10TEST159,953
CWECN10TEST16,739
CWECN10TEST160,847
CWECN10TEST161,863
CWECN10TEST162,836
CWECN10TEST163,969
CWECN10TEST164,830
CWECN10TEST165,932
CWECN10TEST166,852
CWECN10TEST167,859
CWECN10TEST168,812
CWECN10TEST169,885
CWECN10TEST17,817
CWECN10TEST170,929
CWECN10TEST171,817
CWECN10TEST172,827
